Category,Brand,Model,Product Name,SKU Variation,Product Link,Description,Specification
Hardware / Fasteners / Screws / Deck Screws / Wood Deck Screws,DECKMATE,115980,#9 x 2-1/2 in. Tan Star Flat-Head Wood Deck Screw 1 lb.-Box (87-Piece),2-1/2 in~~#9~~Tan~~1 lb,https://www.homedepot.com/p/DECKMATE-9-x-2-1-2-in-Tan-Star-Flat-Head-Wood-Deck-Screw-1-lb-Box-87-Piece-115980/306587134,"About This Product
Tan Deck Screws were designed to provide superior weather protection all while coordinating with your decking finish. Engineered using star drive technology, these screws are twice as durable as a Philips drive and prevent stripping. The tan ceramic coating provides superior rust and corrosion resistance with 4 layers of protection - a zinc layer, a chemical adhesion layer, an epoxy coating, and a durable protective finish. Recommended for use with treated lumber.
Highlights:
- Self-drilling and star head design provide faster drive
- Ideal for outdoor projects and wood to wood applications
- ACQ rated coating for long lasting use
Reinforced neck prevents head from snapping Specifically designed to drive fast and reduce splitting Coating is guaranteed for the life of the project Star drive will not strip or cam-out
Product Information
Internet # 306587134 Model # 115980 Store SKU # 1003274848 Store SO SKU # None","Details:
  - Drive Style: Torx
  - Fastener Color: Tan
  - Fastener Material: Carbon Steel
  - Fastener Plating: Phosphate
  - Fastener Type: Wood Deck Screws
  - Features: ACQ Rated
  - Grade: Not Graded
  - Head Style: Flat Head
  - Included: Driver Bit
  - Interior/Exterior: Exterior
  - Measurement Standard: SAE
  - Measurement System: Inches
  - Package Quantity: 87
  - Product Weight (lb.): 1 lb
  - Returnable: 90-Day
  - Thread Style: Serrated Thread

Warranty / Certifications:
  - Manufacturer Warranty: Limited Lifetime warranty

Dimensions:
  - Screw Length: 2-1/2 in
  - Size: #9
  - Thread Pitch (mm): 0 mm
  - Threads Per Inch (TPI): 0
"
Hardware / Fasteners / Screws / Deck Screws / Wood Deck Screws,DECKMATE,115981,#9 x 2-1/2 in. Tan Star Flat-Head Wood Deck Screw 5 lbs.-Box (435-Piece),2-1/2 in~~#9~~Tan~~5 lb,https://www.homedepot.com/p/DECKMATE-9-x-2-1-2-in-Tan-Star-Flat-Head-Wood-Deck-Screw-5-lbs-Box-435-Piece-115981/306587128,"About This Product
Tan Deck Screws were designed to provide superior weather protection all while coordinating with your decking finish. Engineered using star drive technology, these screws are twice as durable as a Philips drive and prevent stripping. The tan ceramic coating provides superior rust and corrosion resistance with 4 layers of protection - a zinc layer, a chemical adhesion layer, an epoxy coating, and a durable protective finish. Recommended for use with treated lumber.
Highlights:
- Self-drilling and star head design provide faster drive
- Ideal for outdoor projects and wood to wood applications
- ACQ rated coating for long lasting use
Reinforced neck prevents head from snapping Specifically designed to drive fast and reduce splitting Coating is guaranteed for the life of the project Star drive will not strip or cam-out
Product Information
Internet # 306587128 Model # 115981 Store SKU # 1003274835 Store SO SKU # None","Details:
  - Drive Style: Torx
  - Fastener Color: Tan
  - Fastener Material: Carbon Steel
  - Fastener Plating: Phosphate
  - Fastener Type: Wood Deck Screws
  - Features: ACQ Rated
  - Grade: Not Graded
  - Head Style: Flat Head
  - Included: Driver Bit
  - Interior/Exterior: Exterior
  - Measurement Standard: SAE
  - Measurement System: Inches
  - Package Quantity: 435
  - Product Weight (lb.): 5 lb
  - Returnable: 90-Day
  - Thread Style: Serrated Thread

Warranty / Certifications:
  - Manufacturer Warranty: Limited Lifetime warranty

Dimensions:
  - Screw Length: 2-1/2 in
  - Size: #9
  - Thread Pitch (mm): 0 mm
  - Threads Per Inch (TPI): 0
"
Hardware / Fasteners / Screws / Wood Screws,GRK Fasteners,00139,"#10 x 3-1/2 in. Star Drive Bugle Head R4 Multi-Purpose Wood Screw (1,200-Pack)",3-1/2 in~~1200~~#10,https://www.homedepot.com/p/GRK-Fasteners-10-x-3-1-2-in-Star-Drive-Bugle-Head-R4-Multi-Purpose-Wood-Screw-1-200-Pack-00139/310477047,"About This Product
GRK's R4 self-countersinking screw has a patented under head with saw-blade like cutting teeth and 6 self-contained cutting pockets. Together they act similar to a circular saw-blade, transporting the drill dust away from the edge of the screw hole while cutting a perfectly clean hole into even the most brittle materials without cracking any surface treatment. R4 Multi-Purpose Framing Screws are used for wood, plastic, cement fiber board, particle board, sheet metal, wood decking and melamine. For use in all applications that include pressure treated lumber.
Highlights:
- Faster Drive for Improved Productivity
- Fast Bite Tip provides a fast start for one-step installation
- For interior / exterior use
Recessed star drive allows for zero stripping with 6 points of contact CEE thread enlarges hole to reduce splitting Low torque, smoother drive No pre-drilling allows faster penetration
Product Information
Internet # 310477047 Model # 00139 Store SKU # 1004099373 Store SO SKU # None","Details:
  - Drive Style: Torx
  - Fastener Color: Brass
  - Fastener Material: Carbon Steel
  - Fastener Plating: Polymeric Zinc
  - Fastener Type: Wood Screw
  - Features: ACQ Rated,Self Tapping
  - Grade: Not Graded
  - Head Style: Bugle Head
  - Included: No Additional Items Included
  - Interior/Exterior: Exterior,Interior
  - Materials Fastened: Wood to Wood
  - Measurement Standard: SAE
  - Measurement System: Inches
  - Package Quantity: 1200
  - Product Weight (lb.): 18.27 lb
  - Returnable: 90-Day
  - Thread Pitch (mm): 2.6 mm
  - Thread Style: W-Cut Thread
  - Threads Per Inch (TPI): 10 TPI

Warranty / Certifications:
  - Manufacturer Warranty: Visit our website at grkfasteners.com and type in warranty in the search box for detailed warranty information

Dimensions:
  - Screw Length: 3-1/2 in
  - Size: #10
"
Hardware / Fasteners / Screws / Wood Screws,GRK Fasteners,95200,#10 x 3-1/8 in. Star Drive Countersinking Torx Bugle Head R4 Multi-Purpose Screw Extended Contractor Pack (630-Piece),3-1/8 in~~629~~#10,https://www.homedepot.com/p/GRK-Fasteners-10-x-3-1-8-in-Star-Drive-Countersinking-Torx-Bugle-Head-R4-Multi-Purpose-Screw-Extended-Contractor-Pack-630-Piece-95200/304158674,"About This Product
GRKs R4 Multi-Purpose Framing Screw has 6 self-contained cutting pockets which act like a router and transport the drill dust away from the edge of the screw hole. They also widen the countersink hole only around the head shape. The screw head top closes the hole exactly, leaving no damaged fibers around the wider area of the head.
Highlights:
- Faster Drive for Improved Productivity
- Fast Bite Tip provides a fast start for one-step installation
- For interior / exterior use
For use in wood, particle-board, cement fiberboard, plastic, sheet metal Star drive eliminates stripping for improved productivity Zip-Tip allows for no-pre-drilling and 1 step application Self-tapping No pre-drilling No stripped heads Common project applications: remodeling, fencing, storage, cabinets, framing
Product Information
Internet # 304158674 Model # 95200 Store SKU # 1001718735 Store SO SKU # None","Details:
  - Drive Style: Torx
  - Fastener Color: Brass
  - Fastener Material: Carbon Steel
  - Fastener Plating: Polymeric Zinc
  - Fastener Type: Wood Screw
  - Features: ACQ Rated,Self Tapping
  - Grade: Not Graded
  - Head Style: Bugle Head
  - Included: No Additional Items Included
  - Interior/Exterior: Exterior,Interior
  - Materials Fastened: Wood to Wood
  - Measurement Standard: SAE
  - Measurement System: Inches
  - Package Quantity: 629
  - Product Weight (lb.): 10.45 lb
  - Returnable: 90-Day
  - Thread Pitch (mm): 2.6 mm
  - Thread Style: W-Cut Thread
  - Threads Per Inch (TPI): 10 TPI

Warranty / Certifications:
  - Manufacturer Warranty: No Warranty

Dimensions:
  - Screw Length: 3-1/8 in
  - Size: #10
"
Hardware / Fasteners / Screws / Wood Screws,GRK Fasteners,01139,#10 x 3-1/2 in. Star Drive Bugle Round Head R4 Multipurpose Framing and Decking Screws (300-Pack),3-1/2 in~~300~~#10,https://www.homedepot.com/p/GRK-Fasteners-10-x-3-1-2-in-Star-Drive-Bugle-Round-Head-R4-Multipurpose-Framing-and-Decking-Screws-300-Pack-01139/321860566,"About This Product
GRKs R4 Multi-Purpose Framing Screw has 6 self-contained cutting pockets which act like a router and transport the drill dust away from the edge of the screw hole. They also widen the countersink hole only around the head shape. The screw head top closes the hole exactly, leaving no damaged fibers around the wider area of the head.
Highlights:
- Faster Drive for Improved Productivity
- Fast Bite Tip provides a fast start for one-step installation
- For interior / exterior use
Recessed star drive allows for zero stripping with 6 points of contact CEE thread enlarges hole to reduce splitting Low torque, smoother drive No pre-drilling allows faster penetration For use in wood, particle-board, cement fiberboard, plastic, sheet metal Star drive eliminates stripping for improved productivity Zip-tip allows for no-pre-drilling and 1 step application Common project applications: remodeling, fencing, storage, cabinets, framing
Product Information
Internet # 321860566 Model # 01139 Store SKU # 1004099414 Store SO SKU # None","Details:
  - Drive Style: Torx
  - Fastener Color: Brass
  - Fastener Material: Carbon Steel
  - Fastener Plating: Polymeric Zinc
  - Fastener Type: Wood Screw
  - Features: ACQ Rated,Self Tapping
  - Grade: Not Graded
  - Head Style: Bugle Head
  - Included: No Additional Items Included
  - Interior/Exterior: Exterior,Interior
  - Materials Fastened: Wood to Wood
  - Measurement Standard: SAE
  - Measurement System: Inches
  - Package Quantity: 300
  - Product Weight (lb.): 5.07 lb
  - Returnable: 90-Day
  - Thread Pitch (mm): 2.6 mm
  - Thread Style: W-Cut Thread
  - Threads Per Inch (TPI): 10 TPI

Warranty / Certifications:
  - Manufacturer Warranty: Climatek coated and PHEINOX stainless steel screws will not rust under normal environmental conditions when used in accordance with the recommendations listed in GRK's Screw Selection Guide for the life of the project.

Dimensions:
  - Screw Length: 3-1/2 in
  - Size: #10
"
Hardware / Fasteners / Screws / Wood Screws,GRK Fasteners,01069,"#8 x 1-1/4 in. Star Drive Round Head R4 Multi-Purpose Framing and Decking Screws (1,300-Pack)",1-1/4 in~~1300~~#8,https://www.homedepot.com/p/GRK-Fasteners-8-x-1-1-4-in-Star-Drive-Round-Head-R4-Multi-Purpose-Framing-and-Decking-Screws-1-300-Pack-01069/323521978,"About This Product
GRK's R4 Self Countersinking screw has 6 self-contained cutting pockets which act like a router and transport the drill dust away from the edge of the screw hole. They also widen the countersink hole only around the head shape. The screw head top closes the hole exactly, leaving no damaged fibers around the wider area of the head. The R4 head design is so effective that it will not crack even the most brittle materials.
Highlights:
- Faster Drive for Improved Productivity
- Fast Bite Tip provides a fast start for one-step installation
- For interior / exterior use
For use in wood, particle-board, cement fiberboard, plastic, sheet metal Self-tapping No pre-drilling allows faster penetration No stripped heads CEE thread enlarges hole to reduce splitting Common project applications: remodeling, fencing, storage, cabinets, framing
Product Information
Internet # 323521978 Model # 01069 Store SKU # 1004099400 Store SO SKU # None","Details:
  - Drive Style: Torx
  - Fastener Color: Brass
  - Fastener Material: Carbon Steel
  - Fastener Plating: Polymeric Zinc
  - Fastener Type: Wood Screw
  - Features: ACQ Rated,Self Tapping
  - Grade: Not Graded
  - Head Style: Trim Head
  - Included: No Additional Items Included
  - Interior/Exterior: Exterior,Interior
  - Materials Fastened: Wood to Wood
  - Measurement Standard: SAE
  - Measurement System: Inches
  - Package Quantity: 1300
  - Product Weight (lb.): 5.15 lb
  - Returnable: 90-Day
  - Thread Pitch (mm): 2.2 mm
  - Thread Style: W-Cut Thread
  - Threads Per Inch (TPI): 13 TPI

Warranty / Certifications:
  - Manufacturer Warranty: Visit our website at grkfasteners.com and type in warranty in the search box for detailed warranty information

Dimensions:
  - Screw Length: 1-1/4 in
  - Size: #8
"
Hardware / Fasteners / Screws / Wood Screws,GRK Fasteners,100101,#9 x 2-1/2 in. Star Drive Torx Bugle Head R4 Multi-Purpose Wood Screw (300-Pack),2-1/2 in~~300~~#9,https://www.homedepot.com/p/GRK-Fasteners-9-x-2-1-2-in-Star-Drive-Torx-Bugle-Head-R4-Multi-Purpose-Wood-Screw-300-Pack-100101/203533402,"About This Product
GRKs R4 Multi-Purpose Framing Screw has 6 self-contained cutting pockets which act like a router and transport the drill dust away from the edge of the screw hole. They also widen the countersink hole only around the head shape. The screw head top closes the hole exactly, leaving no damaged fibers around the wider area of the head.
Highlights:
- Faster Drive for Improved Productivity
- Fast Bite Tip provides a fast start for one-step installation
- For interior / exterior use
For use in wood, particle-board, cement fiberboard, plastic, sheet metal Star drive eliminates stripping for improved productivity Zip-Tip allows for no-pre-drilling and 1 step application Self-tapping No pre-drilling No stripped heads Common project applications: remodeling, fencing, storage, cabinets, framing
Product Information
Internet # 203533402 Model # 100101 Store SKU # 489745 Store SO SKU # 1001005824","Details:
  - Drive Style: Torx
  - Fastener Color: Brass
  - Fastener Material: Carbon Steel
  - Fastener Plating: Polymeric Zinc
  - Fastener Type: Wood Screw
  - Features: ACQ Rated,Self Tapping
  - Grade: Not Graded
  - Head Style: Bugle Head
  - Included: Driver Bit
  - Interior/Exterior: Exterior,Interior
  - Materials Fastened: Wood to Wood
  - Measurement Standard: SAE
  - Measurement System: Inches
  - Package Quantity: 300
  - Product Weight (lb.): 0.0121 lb
  - Returnable: 90-Day
  - Thread Pitch (mm): 2.2 mm
  - Thread Style: W-Cut Thread
  - Threads Per Inch (TPI): 12 TPI

Warranty / Certifications:
  - Manufacturer Warranty: No

Dimensions:
  - Screw Length: 2-1/2 in
  - Size: #9
"
Hardware / Fasteners / Screws / Deck Screws / Wood Deck Screws,Grip-Rite,PTN114S1,#8 x 1-1/4 in. #2 Phillips Bugle Head Coarse Thread Coated Exterior Screws 1 lb. Box,1-1/4 in~~#6~~Silver~~1 lb,https://www.homedepot.com/p/Grip-Rite-8-x-1-1-4-in-2-Phillips-Bugle-Head-Coarse-Thread-Coated-Exterior-Screws-1-lb-Box-PTN114S1/100170151,"About This Product
Grip-Rite PTN114S1 PrimeGuard #8 x 1-1/4 in. #2 Phillips Bugle Head Coarse Thread Coated Exterior Screws feature a sharp point and 10-year coating for quality and value. Designed for exterior, wood to wood applications, the coarse threads reduce splitting and speed installation. Backed by a limited lifetime warranty, these screws are perfect for your weekend DIY projects.
Highlights:
- #8 x 1-1/4 in. screws designed for outdoor construction
- Hand drive fastener for use in exterior wood to wood applications
- Made from high strength steel for robust durability
Used in general woodworking and construction applications Durable steel construction PrimeGuard coated for corrosion and rust resistance #8 x 1-1/4 in. screws designed for wood to wood construction #2 Phillips drive prevents over driving Sharp point and aggressive threads provide maximum holding power 1 lb. box with around 196 #8 x 1-1/4 in. wood construction screws
Product Information
Internet # 100170151 Model # PTN114S1 Store SKU # 131536 Store SO SKU # None","Details:
  - Drive Style: Phillips
  - Fastener Color: Silver
  - Fastener Material: Carbon Steel
  - Fastener Plating: Phosphate
  - Fastener Type: Wood Screw
  - Features: ACQ Rated
  - Grade: Not Graded
  - Head Style: Bugle Head
  - Included: No Additional Items Included
  - Interior/Exterior: Exterior
  - Measurement Standard: ASTM
  - Measurement System: Inches
  - Package Quantity: 196
  - Product Weight (lb.): 1 lb
  - Returnable: 90-Day
  - Thread Pitch (mm): 3.63 mm
  - Thread Style: Coarse Thread
  - Threads Per Inch (TPI): 8 TPI

Warranty / Certifications:
  - Manufacturer Warranty: 10 Year Limited Warranty

Dimensions:
  - Screw Length: 1-1/4 in
  - Size: #6
"
Hardware / Fasteners / Screws / Sheet Metal Screws / Self Piercing Screws,Teks,21452,#10 x 1-1/2 in. Steel External Hex Head Washer Sharp Point Elite Sheet Metal Roofing Screws (100-Pack),100~~1-1/2 in~~#10,https://www.homedepot.com/p/Teks-10-x-1-1-2-in-Steel-External-Hex-Head-Washer-Sharp-Point-Elite-Sheet-Metal-Roofing-Screws-100-Pack-21452/325845218,"About This Product
Teks Elite 10 x 1-1/2 in. Steel External Hex Head Washer Drill Point Sheet Metal Roofing Screws (100-Pack) provides stronger holding power and improved waterproofing. The Maximum seal (TM) washer provides improved coverage of the screw aiding in better waterproofing, even when fasteners are driven at an angle. The Hi-Grip (TM) threading help secure the fastener with stronger holding power, minimizing the need for rework down the road. The new Shank guard (TM) feature reams out the hole during install, protecting the fastener's shaft and washer from sharp metal frays that could strip the protective Climaseal coating. Finally, the self-tap drill point assists in secure metal-to-metal fastening. Overall, Teks Elite fasteners are designed for the Pro. Less rework. More productivity.
Highlights:
- Secure Flashing for Corrugated Roofing without pre-drilling
- Teks Metal Roofing Screws are Corrosion Resistant
- Tap and fasten metal to metal or metal to wood in one motion
Maximum seal self-sealing EPDM washer provides a waterproof seal in harsh outdoor environments, even when driven at an angle Hi-grip threading helps secure the fastener with stronger holding power, minimizing the need for rework New shank guard feature reams out the hole, protecting fastener's shaft and washer from metal frays that could strip the climaseal coating Fast bite (type 17) tip eliminates pre-drilling and provides a fast start for 1-step installation for secure metal-to-wood fastening Premium finish provides exceptional corrosion resistance in harsh outdoor environments Provides secure fastening with strong holding power Highly versatile Common project applications: corrugated roofing, HVAC, steel stud framing, gutters, flashing for corrugated roofing and register vents
Product Information
Internet # 325845218 Model # 21452 Store SKU # 1009835957 Store SO SKU # None","Details:
  - Drive Style: Hex
  - Fastener Color: Silver
  - Fastener Material: Carbon Steel
  - Fastener Plating: Clear Zinc
  - Fastener Type: Self Piercing Sheet Metal Screws
  - Features: ACQ Rated
  - Grade: Not Graded
  - Head Style: Washer Head
  - Included: No Additional Items Included
  - Interior/Exterior: Exterior,Interior
  - Materials Fastened: Metal to Wood
  - Measurement Standard: SAE
  - Measurement System: Inches
  - Package Quantity: 100
  - Product Weight (lb.): 0.01 lb
  - Returnable: 90-Day
  - Thread Pitch (mm): 1.6 mm
  - Thread Style: Coarse Thread
  - Threads Per Inch (TPI): 16 TPI

Warranty / Certifications:
  - Manufacturer Warranty: This product is sold ""as is"" without any express or implied warranties. ITW Brands' sole liability, if any, shall be to replace this product or refund the purchase price.

Dimensions:
  - Fastener Length (in.): 1-1/2 in
  - Screw Length: 1-1/2 in
  - Size: #10
"
Hardware / Fasteners / Screws / Deck Screws / Wood Deck Screws,DECKMATE,115985,#9 x 3 in. Tan Star Flat-Head Wood Deck Screw 5 lbs.-Box (365-Piece),3 in~~#9~~Tan~~5 lb,https://www.homedepot.com/p/DECKMATE-9-x-3-in-Tan-Star-Flat-Head-Wood-Deck-Screw-5-lbs-Box-365-Piece-115985/306587120,"About This Product
""Construct firm fences and decks with this pack of Deck Mate flat-head wood screws. The star head and the self-drilling design provide a fast drive while minimizing camout, while the ACQ-rated tan ceramic coating resists rust and corrosion for long-lasting durability. A reinforced neck helps prevent the head from bending or snapping when working with hardwoods. These Deck Mate flat-head wood screws include a Torx bit for easy installation, and the steel material offers dependable strength.""
Highlights:
- Star flat-head wood screws for decking and fencing
- Drive into wood using the included Torx bit
- Tan ceramic-coated steel offers reliable durability
""Perfect for building decks and wooden fences "" ""Star drive helps minimize camout for easy installation "" ""Each flat-head screw measures 1 in. L "" ""Steel with a tan ceramic finish "" ""Compatible with Torx bits and screwdrivers""
Product Information
Internet # 306587120 Model # 115985 Store SKU # 1003274830 Store SO SKU # None","Details:
  - Drive Style: Torx
  - Fastener Color: Tan
  - Fastener Material: Carbon Steel
  - Fastener Plating: Phosphate
  - Fastener Type: Wood Deck Screws
  - Features: ACQ Rated
  - Grade: Not Graded
  - Head Style: Flat Head
  - Included: Driver Bit
  - Interior/Exterior: Exterior
  - Measurement Standard: SAE
  - Measurement System: Inches
  - Package Quantity: 365
  - Product Weight (lb.): 5 lb
  - Returnable: 90-Day
  - Thread Style: Serrated Thread

Warranty / Certifications:
  - Manufacturer Warranty: Limited Lifetime warranty

Dimensions:
  - Screw Length: 3 in
  - Size: #9
  - Thread Pitch (mm): 0 mm
  - Threads Per Inch (TPI): 0
"
Hardware / Fasteners / Screws / Deck Screws / Wood Deck Screws,Grip-Rite,PTN212S5,#9 x 2-1/2 in. #2 Phillips Bugle Head Coarse Thread Coated Exterior Screws 5 lb. Box,2-1/2 in~~#8~~Silver~~5 lb,https://www.homedepot.com/p/Grip-Rite-9-x-2-1-2-in-2-Phillips-Bugle-Head-Coarse-Thread-Coated-Exterior-Screws-5-lb-Box-PTN212S5/100136137,"About This Product
Grip-Rite PTN212S5 PrimeGuard #9 x 2-1/2 in. #2 Phillips Bugle Head Coarse Thread Coated Exterior Screws feature a sharp point and 10-year coating for quality and value. Designed for exterior, wood to wood applications, the coarse threads reduce splitting and speed installation. Backed by a limited lifetime warranty, these screws are perfect for your weekend DIY projects.
Highlights:
- #9 x 2-1/2 in. screws designed for outdoor construction
- Hand drive fastener for use in exterior wood to wood applications
- Made from high strength steel for robust durability
Used in general woodworking and construction applications Durable steel construction PrimeGuard coated for corrosion and rust resistance #9 x 2-1/2 in. screws designed for wood to wood construction #2 Phillips drive prevents over driving Sharp point and aggressive threads provide maximum holding power 5 lb. box with around 435 #9 x 2-1/2 in. wood construction screws
Product Information
Internet # 100136137 Model # PTN212S5 Store SKU # 134370 Store SO SKU # None","Details:
  - Drive Style: Phillips
  - Fastener Color: Silver
  - Fastener Material: Carbon Steel
  - Fastener Plating: Phosphate
  - Fastener Type: Wood Screw
  - Features: ACQ Rated
  - Grade: Not Graded
  - Head Style: Bugle Head
  - Included: No Additional Items Included
  - Interior/Exterior: Exterior
  - Measurement Standard: ASTM
  - Measurement System: Inches
  - Package Quantity: 435
  - Product Weight (lb.): 5 lb
  - Returnable: 90-Day
  - Thread Pitch (mm): 3.63 mm
  - Thread Style: Coarse Thread
  - Threads Per Inch (TPI): 8 TPI

Warranty / Certifications:
  - Manufacturer Warranty: 10 Year Limited Warranty

Dimensions:
  - Screw Length: 2-1/2 in
  - Size: #8
"
